LABEL TYPE|LABEL CODE|LABEL DESCRIPTION|LABEL SIZE|LABEL QUANTITY|ARTICLE NUMBER|VENDOR NUM|COLOR CODE|COLOR DESCRIPTION|CARE SYMBOLS CODE 1|CARE SYMBOLS CODE 2|CARE SYMBOLS CODE 3|CARE SYMBOLS CODE 4|CARE SYMBOLS CODE 5|CARE SYMBOLS CODE 6|CARE SYMBOLS CODE 7|EAN-CODE|BATCH NUMBER|STYLE DESCRIPTION (EN)|STYLE DESCRIPTION (FR)|SHAPE|PRODUCT LINE|BRAND|MAIN MATERIAL DESCRIPTION|COU|PO-NUMBER|SEAS|CO|SIZE CODE|SIZE DESCRIPTION|CARE INSTRUCTION 1|CARE INSTRUCTION 2|CARE INSTRUCTION 3|CARE INSTRUCTION 4|CARE INSTRUCTION 5|CARE INSTRUCTION 6|CARE INSTRUCTION 7|Declaration Group 1|DG1 - Comp Desc 1|DG1 - Comp %Age 1|DG1 - Comp Desc 2|DG1 - Comp %Age 2|DG1 - Comp Desc 3|DG1 - Comp %Age 3|DG1 - Comp Desc 4|DG1 - Comp %Age 4|DG1 - Comp Desc 5|DG1 - Comp %Age 5|DG1 - Comp Desc 6|DG1 - Comp %Age 6|DG1 - Comp Desc 7|DG1 - Comp %Age 7|DG1 - Comp Desc 8|DG1 - Comp %Age 8|Declaration Group 2|DG2 - Comp Desc 1|DG2 - Comp %Age 1|DG2 - Comp Desc 2|DG2 - Comp %Age 2|DG2 - Comp Desc 3|DG2 - Comp %Age 3|DG2 - Comp Desc 4|DG2 - Comp %Age 4|DG2 - Comp Desc 5|DG2 - Comp %Age 5|DG2 - Comp Desc 6|DG2 - Comp %Age 6|DG2 - Comp Desc 7|DG2 - Comp %Age 7|DG2 - Comp Desc 8|DG2 - Comp %Age 8|Declaration Group 3|DG3 - Comp Desc 1|DG3 - Comp %Age 1|DG3 - Comp Desc 2|DG3 - Comp %Age 2|DG3 - Comp Desc 3|DG3 - Comp %Age 3|DG3 - Comp Desc 4|DG3 - Comp %Age 4|DG3 - Comp Desc 5|DG3 - Comp %Age 5|DG3 - Comp Desc 6|DG3 - Comp %Age 6|DG3 - Comp Desc 7|DG3 - Comp %Age 7|DG3 - Comp Desc 8|DG3 - Comp %Age 8|Declaration Group 4|DG4 - Comp Desc 1|DG4 - Comp %Age 1|DG4 - Comp Desc 2|DG4 - Comp %Age 2|DG4 - Comp Desc 3|DG4 - Comp %Age 3|DG4 - Comp Desc 4|DG4 - Comp %Age 4|DG4 - Comp Desc 5|DG4 - Comp %Age 5|DG4 - Comp Desc 6|DG4 - Comp %Age 6|DG4 - Comp Desc 7|DG4 - Comp %Age 7|DG4 - Comp Desc 8|DG4 - Comp %Age 8|Declaration Group 5|DG5 - Comp Desc 1|DG5 - Comp %Age 1|DG5 - Comp Desc 2|DG5 - Comp %Age 2|DG5 - Comp Desc 3|DG5 - Comp %Age 3|DG5 - Comp Desc 4|DG5 - Comp %Age 4|DG5 - Comp Desc 5|DG5 - Comp %Age 5|DG5 - Comp Desc 6|DG5 - Comp %Age 6|DG5 - Comp Desc 7|DG5 - Comp %Age 7|DG5 - Comp Desc 8|DG5 - Comp %Age 8|Declaration Group 6|DG6 - Comp Desc 1|DG6 - Comp %Age 1|DG6 - Comp Desc 2|DG6 - Comp %Age 2|DG6 - Comp Desc 3|DG6 - Comp %Age 3|DG6 - Comp Desc 4|DG6 - Comp %Age 4|DG6 - Comp Desc 5|DG6 - Comp %Age 5|DG6 - Comp Desc 6|DG6 - Comp %Age 6|DG6 - Comp Desc 7|DG6 - Comp %Age 7|DG6 - Comp Desc 8|DG6 - Comp %Age 8|Declaration Group 7|DG7 - Comp Desc 1|DG7 - Comp %Age 1|DG7 - Comp Desc 2|DG7 - Comp %Age 2|DG7 - Comp Desc 3|DG7 - Comp %Age 3|DG7 - Comp Desc 4|DG7 - Comp %Age 4|DG7 - Comp Desc 5|DG7 - Comp %Age 5|DG7 - Comp Desc 6|DG7 - Comp %Age 6|DG7 - Comp Desc 7|DG7 - Comp %Age 7|DG7 - Comp Desc 8|DG7 - Comp %Age 8|Declaration Group 8|DG8 - Comp Desc 1|DG8 - Comp %Age 1|DG8 - Comp Desc 2|DG8 - Comp %Age 2|DG8 - Comp Desc 3|DG8 - Comp %Age 3|DG8 - Comp Desc 4|DG8 - Comp %Age 4|DG8 - Comp Desc 5|DG8 - Comp %Age 5|DG8 - Comp Desc 6|DG8 - Comp %Age 6|DG8 - Comp Desc 7|DG8 - Comp %Age 7|DG8 - Comp Desc 8|DG8 - Comp %Age 8|TEXT 1|TEXT 2|TEXT 3|Care Instruction 1|Care Instruction 2|Care Instruction 3|Care Instruction 6|Care Instruction 4|Care Instruction 5|Chinese SIZE|DG1-CIQ1|DG1-CIQ2|DG2-CIQ1|DG2-CIQ2|DG3-CIQ1|DG3-CIQ2|DG4-CIQ1|DG4-CIQ2|DG5-CIQ1|DG5-CIQ2|DG6-CIQ1|DG6-CIQ2|DG7-CIQ1|DG7-CIQ2|DG8-CIQ1|DG8-CIQ2|DGX-CIQ1|DGX-CIQ2|DG1 - SUBCAT|DG2 - SUBCAT|DG3 - SUBCAT|DG4 - SUBCAT|DG5 - SUBCAT|DG6 - SUBCAT|DG7 - SUBCAT|DG8 - SUBCAT|DG Padding - MW1|DG Padding - MW2|DG Padding - MW3|DG Padding - MW4|DG Padding - MW5|DG Padding - MW6|DG Padding - MW7|DG Padding - MW8|DG1-SPECIES|DG1-TANNING|DG1-GROW ORIGIN|DG1-MATNAME|DG2-SPECIES|DG2-TANNING|DG2-GROW ORIGIN|DG2-MATNAME|DG3-SPECIES|DG3-TANNING|DG3-GROW ORIGIN|DG3-MATNAME|DG4-SPECIES|DG4-TANNING|DG4-GROW ORIGIN|DG4-MATNAME|DG5-SPECIES|DG5-TANNING|DG5-GROW ORIGIN|DG5-MATNAME|DG6-SPECIES|DG6-TANNING|DG6-GROW ORIGIN|DG6-MATNAME|DG7-SPECIES|DG7-TANNING|DG7-GROW ORIGIN|DG7-MATNAME|DG8-SPECIES|DG8-TANNING|DG8-GROW ORIGIN|DG8-MATNAME|SALESLINE_DESC|MAT_CODE_DESC|GENERIC_CODE|GENERIC_DESC|MDSE CAT|ORDER REASON H.|Down/Feather|Korean size|||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|233|CHC21WP718F5749V|0000515590|49V|Graceful Blue||||||||7614027255621|ES00|SMALL TRI FO, Graceful Blue, Single size|SMALL TRI FO, Graceful Blue, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP718F57|SMALL TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|151|CHC21WP718F576T5|0000515590|6T5|Terracotta Pink||||||||7614027255638|ES00|SMALL TRI, Terracotta Pink, Single size|SMALL TRI, Terracotta Pink, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP718F57|SMALL TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|100|CHC21WP719F5726X|0000515590|26X|Light Tan||||||||7613386422484|ES00|MINI TRI FOLD, Light Tan, Single size|MINI TRI FOLD, Light Tan, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP719F57|MINI TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|100|CHC21WP719F5749V|0000515590|49V|Graceful Blue||||||||7614027255331|ES00|MINI TRI FOL, Graceful Blue, Single size|MINI TRI FOL, Graceful Blue, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP719F57|MINI TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|70|CHC21WP719F576T5|0000515590|6T5|Terracotta Pink||||||||7614027255348|ES00|MINI TRI F, Terracotta Pink, Single size|MINI TRI F, Terracotta Pink, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP719F57|MINI TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|73|CHC21WP941F57001|0000515590|001|Black||||||||7613386099532|ES00|LONG ZIPPED WALLET, Black, Single size|LONG ZIPPED WALLET, Black, Single size|PZ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||480|123|65%|107|35%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE||||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP941F57|LONG ZIPPED WALLET|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP941F57053|0000515590|053|Cashmere Grey||||||||7613386099556|ES00|LONG ZIPPED, Cashmere Grey, Single size|LONG ZIPPED, Cashmere Grey, Single size|PZ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021024379|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||480|123|65%|107|35%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE||||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP941F57|LONG ZIPPED WALLET|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP941F57053|0000515590|053|Cashmere Grey||||||||7613386099556|ES00|LONG ZIPPED, Cashmere Grey, Single size|LONG ZIPPED, Cashmere Grey, Single size|PZ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||480|123|65%|107|35%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE||||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP941F57|LONG ZIPPED WALLET|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP941F576J5|0000515590|6J5|Cement Pink||||||||7613386099587|ES00|LONG ZIPPED WA, Cement Pink, Single size|LONG ZIPPED WA, Cement Pink, Single size|PZ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||480|123|65%|107|35%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE||||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP941F57|LONG ZIPPED WALLET|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|109|CHC21WP942F57001|0000515590|001|Black||||||||7613386099051|ES00|WALLET WITH FLAP, Black, Single size|WALLET WITH FLAP, Black, Single size|PR|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP942F57|WALLET WITH FLAP|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP942F57053|0000515590|053|Cashmere Grey||||||||7613386099075|ES00|WALLET WITH, Cashmere Grey, Single size|WALLET WITH, Cashmere Grey, Single size|PR|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP942F57|WALLET WITH FLAP|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP942F57084|0000515590|084|Wild Grey||||||||7613386887153|ES00|WALLET WITH FLAP, Wild Grey, Single size|WALLET WITH FLAP, Wild Grey, Single size|PR|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP942F57|WALLET WITH FLAP|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|52|CHC21WP942F5726X|0000515590|26X|Light Tan||||||||7613386428752|ES00|WALLET WITH FLAP, Light Tan, Single size|WALLET WITH FLAP, Light Tan, Single size|PR|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP942F57|WALLET WITH FLAP|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|34|CHC21WP942F5749V|0000515590|49V|Graceful Blue||||||||7614027255317|ES00|WALLET WITH, Graceful Blue, Single size|WALLET WITH, Graceful Blue, Single size|PR|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP942F57|WALLET WITH FLAP|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP942F576J5|0000515590|6J5|Cement Pink||||||||7613386099310|ES00|WALLET WITH FL, Cement Pink, Single size|WALLET WITH FL, Cement Pink, Single size|PR|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021632312|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP942F57|WALLET WITH FLAP|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|18|CHC21WP942F576T5|0000515590|6T5|Terracotta Pink||||||||7614027255324|ES00|WALLET WIT, Terracotta Pink, Single size|WALLET WIT, Terracotta Pink, Single size|PR|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP942F57|WALLET WITH FLAP|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP944F57001|0000515590|001|Black||||||||7613386099129|ES00|SMALL PURSE W CARDS, Black, Single size|SMALL PURSE W CARDS, Black, Single size|PT|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|123|65%|107|35%|||||||||||||480|117|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE||GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028||||3000||||3809|OVIS ARIES ARIES|02|MA|5046|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP944F57|SMALL PURSE W CARDS|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP944F57084|0000515590|084|Wild Grey||||||||7613386889010|ES00|SMALL PURSE W CA, Wild Grey, Single size|SMALL PURSE W CA, Wild Grey, Single size|PT|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|123|65%|107|35%|||||||||||||480|117|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE||GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028||||3000||||3809|OVIS ARIES ARIES|02|MA|5046|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP944F57|SMALL PURSE W CARDS|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|34|CHC21WP944F5726X|0000515590|26X|Light Tan||||||||7613386428219|ES00|SMALL PURSE W CA, Light Tan, Single size|SMALL PURSE W CA, Light Tan, Single size|PT|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|123|65%|107|35%|||||||||||||480|117|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE||GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028||||3000||||3809|OVIS ARIES ARIES|02|MA|5046|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP944F57|SMALL PURSE W CARDS|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|54|CHC21WP944F5749V|0000515590|49V|Graceful Blue||||||||7614027255706|ES00|SMALL PURSE, Graceful Blue, Single size|SMALL PURSE, Graceful Blue, Single size|PT|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|123|65%|107|35%|||||||||||||480|117|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE||GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028||||3000||||3809|OVIS ARIES ARIES|02|MA|5046|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP944F57|SMALL PURSE W CARDS|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|26|CHC21WP944F576T5|0000515590|6T5|Terracotta Pink||||||||7614027255713|ES00|SMALL PURS, Terracotta Pink, Single size|SMALL PURS, Terracotta Pink, Single size|PT|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|123|65%|107|35%|||||||||||||480|117|100%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE||GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028||||3000||||3809|OVIS ARIES ARIES|02|MA|5046|||||||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP944F57|SMALL PURSE W CARDS|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP945F57001|0000515590|001|Black||||||||7613386099174|ES00|SMALL TRI FOLD, Black, Single size|SMALL TRI FOLD, Black, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP945F57|SMALL TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|50|CHC21WP945F57053|0000515590|053|Cashmere Grey||||||||7613386099181|ES00|SMALL TRI FO, Cashmere Grey, Single size|SMALL TRI FO, Cashmere Grey, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP945F57|SMALL TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|81|CHC21WP945F57084|0000515590|084|Wild Grey||||||||7613386889546|ES00|SMALL TRI FOLD, Wild Grey, Single size|SMALL TRI FOLD, Wild Grey, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021312029|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP945F57|SMALL TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|62|CHC21WP945F5726X|0000515590|26X|Light Tan||||||||7613386427885|ES00|SMALL TRI FOLD, Light Tan, Single size|SMALL TRI FOLD, Light Tan, Single size|PQ|C|CHL|GRAINED & SHINY CALFSKIN|ES|6021290814|CH24|U|TU|||||||||005|106|100%|||||||||||||||010|106|100%|||||||||||||||020|117|100%|||||||||||||||460|106|100%|||||||||||||||480|123|65%|107|35%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE|GE|GE|GE|||||||||||||BOS TAURUS|05|IT|5028|BOS TAURUS|02|GB|5028|OVIS ARIES ARIES|02|MA|5046||||3000||||3809|BOS TAURUS|05|IT|5028|||||||||ALPHABET|GRAINED & SHINY CALF|CHC21WP945F57|SMALL TRI FOLD|CH0102003|Y00|||||||||||||||||||||||
